run,condition_label,target_rpm,actual_speed_mean_rpm,rotating_frequency_hz,channel,sensor_id,position,direction,signal_type,unit,band_label,low_hz,high_hz,energy,energy_ratio
run_20260707_6000rpm_10min_20℃,冷却20℃,6000.0,5999.991258465011,99.99985430775018,cDAQ9185-254D6AAMod1/ai2,ACC3,BenchTop,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,1.3670621441515145e-32,1.1963032214686807e-30
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,0-10 Hz,0.0,10.0,3.6863121901512876e-07,1.911474096497345e-05
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,10-100 Hz,10.0,100.0,1.0244604639358257e-05,0.0005312164403575968
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,100-1000 Hz,100.0,1000.0,0.0007413562848917477,0.03844176135250021
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.0112721162294824,0.5844962953199756
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.007261095653561644,0.3765116880511123
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,0-10 Hz,0.0,10.0,1.3456846233998751e-05,0.000881762841361328
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,10-100 Hz,10.0,100.0,0.0028521734806603986,0.18688930144780422
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,100-1000 Hz,100.0,1000.0,0.012395668519882948,0.8122289357108343
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,1000-5000 Hz,1000.0,5000.0,5.34252091978119e-24,3.5006987107845956e-22
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai0,ACC1,FrontBearingOuter,Y,velocity,mm/s,5000-12800 Hz,5000.0,12800.0,1.367677141955218e-32,8.961734880409759e-31
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,0-10 Hz,0.0,10.0,6.051121963916865e-07,6.95782381328994e-05
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,10-100 Hz,10.0,100.0,1.3648302867588225e-06,0.0001569336848098
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,100-1000 Hz,100.0,1000.0,0.00010330071218704396,0.011877932050795788
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,1000-5000 Hz,1000.0,5000.0,0.004730637504946934,0.5439477584526587
run_20260707_6000rpm_10min_24℃,冷却24℃,6000.0,5999.999616766467,99.99999361277445,cDAQ9185-254D6AAMod1/ai1,ACC2,FrontBearingOuter,X,acceleration,g,5000-12800 Hz,5000.0,12800.0,0.0038609561811285566,0.4439482961889667
